attribute_id,product_id,attribute_name,attribute_value
3,8101,Season,Fall 2020
8,8101,Classification,OBSOLETE
24,8101,Price Method,Full Price
25,8101,NU Customer Groups,All
26,8101,Brand License,Posh Peanut
59,8101,Department,Apparel
60,8101,Prebook,FALSE
61,8101,Materials,Bamboo/Spandex(95/5)
5,8102,Collection,Maxine
20,8102,Subcategory,Bodysuit
7,8102,Gender,Baby Girl
4,8102,Size,18-24 Months
16,8102,NRF Color Code,N/A
19,8102,NRF Color Name,N/A
3,8102,Season,Fall 2020
8,8102,Classification,OBSOLETE
24,8102,Price Method,Full Price
25,8102,NU Customer Groups,All
26,8102,Brand License,Posh Peanut
59,8102,Department,Apparel
60,8102,Prebook,FALSE
61,8102,Materials,Bamboo/Spandex(95/5)
5,8103,Collection,Maxine
20,8103,Subcategory,Dress
7,8103,Gender,Girl
4,8103,Size,2 years
16,8103,NRF Color Code,N/A
19,8103,NRF Color Name,N/A
3,8103,Season,Fall 2020
8,8103,Classification,OBSOLETE
24,8103,Price Method,Full Price
25,8103,NU Customer Groups,All
26,8103,Brand License,Posh Peanut
59,8103,Department,Apparel
60,8103,Prebook,FALSE
61,8103,Materials,Bamboo/Spandex(95/5)
5,8104,Collection,Maxine
20,8104,Subcategory,Dress
7,8104,Gender,Girl
4,8104,Size,3 years
16,8104,NRF Color Code,N/A
19,8104,NRF Color Name,N/A
3,8104,Season,Obsolete
8,8104,Classification,OBSOLETE
24,8104,Price Method,Full Price
25,8104,NU Customer Groups,All
26,8104,Brand License,Posh Peanut
59,8104,Department,Apparel
60,8104,Prebook,FALSE
61,8104,Materials,Bamboo/Spandex(95/5)
5,8105,Collection,Maxine
20,8105,Subcategory,Dress
7,8105,Gender,Girl
4,8105,Size,4 years
16,8105,NRF Color Code,N/A
19,8105,NRF Color Name,N/A
3,8105,Season,Fall 2020
8,8105,Classification,OBSOLETE
24,8105,Price Method,Full Price
25,8105,NU Customer Groups,All
26,8105,Brand License,Posh Peanut
59,8105,Department,Apparel
60,8105,Prebook,FALSE
61,8105,Materials,Bamboo/Spandex(95/5)
5,8106,Collection,Maxine
20,8106,Subcategory,Dress
7,8106,Gender,Girl
4,8106,Size,5 years
16,8106,NRF Color Code,N/A
19,8106,NRF Color Name,N/A
3,8106,Season,Fall 2020
8,8106,Classification,OBSOLETE
24,8106,Price Method,Full Price
25,8106,NU Customer Groups,All
26,8106,Brand License,Posh Peanut
59,8106,Department,Apparel
60,8106,Prebook,FALSE
61,8106,Materials,Bamboo/Spandex(95/5)
5,8107,Collection,Maxine
20,8107,Subcategory,Dress
7,8107,Gender,Girl
4,8107,Size,6 years
16,8107,NRF Color Code,N/A
19,8107,NRF Color Name,N/A
3,8107,Season,Fall 2020
8,8107,Classification,OBSOLETE
24,8107,Price Method,Full Price
25,8107,NU Customer Groups,All
26,8107,Brand License,Posh Peanut
59,8107,Department,Apparel
60,8107,Prebook,FALSE
61,8107,Materials,Bamboo/Spandex(95/5)
5,8108,Collection,Maxine
20,8108,Subcategory,Robe
7,8108,Gender,Women
4,8108,Size,Small (0-2)
16,8108,NRF Color Code,N/A
19,8108,NRF Color Name,N/A
3,8108,Season,Fall 2020
8,8108,Classification,OBSOLETE
24,8108,Price Method,Full Price
25,8108,NU Customer Groups,All
26,8108,Brand License,Posh Peanut
59,8108,Department,Apparel
60,8108,Prebook,FALSE
61,8108,Materials,Bamboo/Spandex(95/5)
5,8109,Collection,Maxine
20,8109,Subcategory,Robe
7,8109,Gender,Women
4,8109,Size,Medium (4-6)
16,8109,NRF Color Code,N/A
19,8109,NRF Color Name,N/A
3,8109,Season,Obsolete
8,8109,Classification,OBSOLETE
24,8109,Price Method,Full Price
25,8109,NU Customer Groups,All
26,8109,Brand License,Posh Peanut
59,8109,Department,Apparel
60,8109,Prebook,FALSE
61,8109,Materials,Bamboo/Spandex(95/5)
5,8110,Collection,Maxine
20,8110,Subcategory,Robe
7,8110,Gender,Women
4,8110,Size,Large (8-10)
16,8110,NRF Color Code,N/A
19,8110,NRF Color Name,N/A
3,8110,Season,Fall 2020
8,8110,Classification,OBSOLETE
24,8110,Price Method,Full Price
25,8110,NU Customer Groups,All
26,8110,Brand License,Posh Peanut
59,8110,Department,Apparel
60,8110,Prebook,FALSE
61,8110,Materials,Bamboo/Spandex(95/5)
5,8111,Collection,Maxine
20,8111,Subcategory,Robe
7,8111,Gender,Women
4,8111,Size,XL (12-14)
16,8111,NRF Color Code,N/A
19,8111,NRF Color Name,N/A
3,8111,Season,Fall 2020
8,8111,Classification,OBSOLETE
24,8111,Price Method,Full Price
25,8111,NU Customer Groups,All
26,8111,Brand License,Posh Peanut
59,8111,Department,Apparel
60,8111,Prebook,FALSE
61,8111,Materials,Bamboo/Spandex(95/5)
5,8112,Collection,Maxine
20,8112,Subcategory,Robe
7,8112,Gender,Women
4,8112,Size,2XL (16-18)
16,8112,NRF Color Code,N/A
19,8112,NRF Color Name,N/A
3,8112,Season,Fall 2020
8,8112,Classification,OBSOLETE
24,8112,Price Method,Full Price
25,8112,NU Customer Groups,All
26,8112,Brand License,Posh Peanut
59,8112,Department,Apparel
60,8112,Prebook,FALSE
61,8112,Materials,Bamboo/Spandex(95/5)
5,8113,Collection,Chloe
20,8113,Subcategory,Swaddle Sets
7,8113,Gender,Baby Girl
4,8113,Size,One Size
6,8113,Launch Date,18-11-2020
16,8113,NRF Color Code,N/A
19,8113,NRF Color Name,N/A
3,8113,Season,Fall 2020
8,8113,Classification,OBSOLETE
24,8113,Price Method,Markdown
25,8113,NU Customer Groups,All
26,8113,Brand License,Posh Peanut
59,8113,Department,Apparel
60,8113,Prebook,FALSE
61,8113,Materials,Bamboo/Spandex(95/5)
5,8114,Collection,Chloe
20,8114,Subcategory,Accessories
7,8114,Gender,Baby Girl
4,8114,Size,0-3 Months
6,8114,Launch Date,18-11-2020
16,8114,NRF Color Code,N/A
19,8114,NRF Color Name,N/A
3,8114,Season,Fall 2020
8,8114,Classification,OBSOLETE
24,8114,Price Method,Markdown
25,8114,NU Customer Groups,All
26,8114,Brand License,Posh Peanut
59,8114,Department,Accessories
60,8114,Prebook,FALSE
61,8114,Materials,Bamboo/Spandex(95/5)
5,8115,Collection,Chloe
20,8115,Subcategory,Gown
7,8115,Gender,Baby Girl
4,8115,Size,0-3 Months
6,8115,Launch Date,18-11-2020
16,8115,NRF Color Code,N/A
19,8115,NRF Color Name,N/A
3,8115,Season,Fall 2020
8,8115,Classification,OBSOLETE
24,8115,Price Method,Markdown
25,8115,NU Customer Groups,All
26,8115,Brand License,Posh Peanut
19,8121,NRF Color Name,N/A
59,8115,Department,Apparel
60,8115,Prebook,FALSE
61,8115,Materials,Bamboo/Spandex(95/5)
5,8116,Collection,Chloe
20,8116,Subcategory,Kimono Sets
7,8116,Gender,Baby Girl
4,8116,Size,0-3 Months
6,8116,Launch Date,18-11-2020
16,8116,NRF Color Code,N/A
19,8116,NRF Color Name,N/A
3,8116,Season,Fall 2020
8,8116,Classification,OBSOLETE
24,8116,Price Method,Markdown
25,8116,NU Customer Groups,All
26,8116,Brand License,Posh Peanut
59,8116,Department,Apparel
60,8116,Prebook,FALSE
61,8116,Materials,Bamboo/Spandex(95/5)
5,8117,Collection,Chloe
20,8117,Subcategory,Footie Ruffled Zippered One Piece
7,8117,Gender,Baby Girl
4,8117,Size,Newborn
3,8117,Season,Fall 2020
8,8117,Classification,OBSOLETE
6,8117,Launch Date,18-11-2020
19,8117,NRF Color Name,Pink
16,8117,NRF Color Code,N/A
5,8118,Collection,Chloe
20,8118,Subcategory,Footie Ruffled Zippered One Piece
7,8118,Gender,Baby Girl
4,8118,Size,0-3 Months
3,8118,Season,Fall 2020
8,8118,Classification,OBSOLETE
6,8118,Launch Date,18-11-2020
19,8118,NRF Color Name,Pink
16,8118,NRF Color Code,N/A
5,8119,Collection,Chloe
20,8119,Subcategory,Footie Ruffled Zippered One Piece
7,8119,Gender,Baby Girl
4,8119,Size,3-6 Months
3,8119,Season,Fall 2020
8,8119,Classification,OBSOLETE
6,8119,Launch Date,18-11-2020
19,8119,NRF Color Name,Pink
16,8119,NRF Color Code,N/A
5,8120,Collection,Chloe
20,8120,Subcategory,Footie Ruffled Zippered One Piece
7,8120,Gender,Baby Girl
4,8120,Size,6-9 Months
3,8120,Season,Fall 2020
8,8120,Classification,OBSOLETE
6,8120,Launch Date,18-11-2020
19,8120,NRF Color Name,Pink
16,8120,NRF Color Code,N/A
5,8121,Collection,Chloe
20,8121,Subcategory,One Piece
7,8121,Gender,Baby Girl
4,8121,Size,9-12 Months
6,8121,Launch Date,18-11-2020
16,8121,NRF Color Code,N/A
3,8121,Season,Fall 2020
8,8121,Classification,OBSOLETE
24,8121,Price Method,Full Price
25,8121,NU Customer Groups,All
26,8121,Brand License,Posh Peanut
59,8121,Department,Apparel
60,8121,Prebook,FALSE
61,8121,Materials,Bamboo/Spandex(95/5)
5,8122,Collection,Chloe
20,8122,Subcategory,One Piece
7,8122,Gender,Baby Girl
4,8122,Size,12-18 Months
6,8122,Launch Date,18-11-2020
16,8122,NRF Color Code,N/A
19,8122,NRF Color Name,N/A
3,8122,Season,Fall 2020
8,8122,Classification,OBSOLETE
24,8122,Price Method,Full Price
25,8122,NU Customer Groups,All
26,8122,Brand License,Posh Peanut
59,8122,Department,Apparel
60,8122,Prebook,FALSE
61,8122,Materials,Bamboo/Spandex(95/5)
5,8123,Collection,Chloe
20,8123,Subcategory,Romper
7,8123,Gender,Baby Girl
4,8123,Size,0-3 Months
3,8123,Season,Fall 2020
8,8123,Classification,OBSOLETE
6,8123,Launch Date,18-11-2020
19,8123,NRF Color Name,Pink
16,8123,NRF Color Code,N/A
61,8123,Materials,Bamboo/Spandex(95/5)
25,8123,NU Customer Groups,All
26,8123,Brand License,Posh Peanut
59,8123,Department,Apparel
60,8123,Prebook,FALSE
5,8124,Collection,Chloe
20,8124,Subcategory,Long Sleeve Ruffled Romper
7,8124,Gender,Baby Girl
4,8124,Size,3-6 Months
3,8124,Season,Fall 2020
8,8124,Classification,OBSOLETE
6,8124,Launch Date,18-11-2020
19,8124,NRF Color Name,Pink
16,8124,NRF Color Code,N/A
5,8125,Collection,Chloe
20,8125,Subcategory,Long Sleeve Ruffled Romper
7,8125,Gender,Baby Girl
4,8125,Size,6-9 Months
3,8125,Season,Fall 2020
8,8125,Classification,OBSOLETE
6,8125,Launch Date,18-11-2020
19,8125,NRF Color Name,Pink
16,8125,NRF Color Code,N/A
5,8126,Collection,Chloe
20,8126,Subcategory,Romper
7,8126,Gender,Baby Girl
4,8126,Size,9-12 Months
4,8131,Size,4 years
6,8126,Launch Date,18-11-2020
16,8126,NRF Color Code,N/A
19,8126,NRF Color Name,N/A
3,8126,Season,Obsolete
8,8126,Classification,OBSOLETE
24,8126,Price Method,Full Price
25,8126,NU Customer Groups,All
26,8126,Brand License,Posh Peanut
59,8126,Department,Apparel
60,8126,Prebook,FALSE
61,8126,Materials,Bamboo/Spandex(95/5)
5,8127,Collection,Chloe
20,8127,Subcategory,Long Sleeve Ruffled Romper
7,8127,Gender,Baby Girl
4,8127,Size,12-18 Months
3,8127,Season,Fall 2020
8,8127,Classification,OBSOLETE
6,8127,Launch Date,18-11-2020
19,8127,NRF Color Name,Pink
16,8127,NRF Color Code,N/A
5,8128,Collection,Chloe
20,8128,Subcategory,Long Sleeve Ruffled Romper
7,8128,Gender,Baby Girl
4,8128,Size,18-24 Months
3,8128,Season,Fall 2020
8,8128,Classification,OBSOLETE
6,8128,Launch Date,18-11-2020
19,8128,NRF Color Name,Pink
16,8128,NRF Color Code,N/A
5,8129,Collection,Chloe
20,8129,Subcategory,Kid's Pajamas
7,8129,Gender,Girl
4,8129,Size,2 years
6,8129,Launch Date,18-11-2020
16,8129,NRF Color Code,N/A
19,8129,NRF Color Name,N/A
3,8129,Season,Fall 2020
8,8129,Classification,OBSOLETE
24,8129,Price Method,Markdown
25,8129,NU Customer Groups,All
26,8129,Brand License,Posh Peanut
59,8129,Department,Apparel
60,8129,Prebook,FALSE
61,8129,Materials,Bamboo/Spandex(95/5)
5,8130,Collection,Chloe
20,8130,Subcategory,Kid's Pajamas
7,8130,Gender,Girl
4,8130,Size,3 years
6,8130,Launch Date,18-11-2020
16,8130,NRF Color Code,N/A
19,8130,NRF Color Name,N/A
3,8130,Season,Obsolete
8,8130,Classification,OBSOLETE
24,8130,Price Method,Markdown
25,8130,NU Customer Groups,All
26,8130,Brand License,Posh Peanut
59,8130,Department,Apparel
60,8130,Prebook,FALSE
61,8130,Materials,Bamboo/Spandex(95/5)
5,8131,Collection,Chloe
20,8131,Subcategory,Kid's Pajamas
7,8131,Gender,Girl
6,8131,Launch Date,18-11-2020
16,8131,NRF Color Code,N/A
19,8131,NRF Color Name,N/A
3,8131,Season,Fall 2020
8,8131,Classification,OBSOLETE
24,8131,Price Method,Markdown
25,8131,NU Customer Groups,All
26,8131,Brand License,Posh Peanut
59,8131,Department,Apparel
60,8131,Prebook,FALSE
61,8131,Materials,Bamboo/Spandex(95/5)
5,8132,Collection,Chloe
20,8132,Subcategory,Kid's Pajamas
7,8132,Gender,Girl
4,8132,Size,5 years
6,8132,Launch Date,18-11-2020
16,8132,NRF Color Code,N/A
19,8132,NRF Color Name,N/A
3,8132,Season,Fall 2020
8,8132,Classification,OBSOLETE
24,8132,Price Method,Markdown
25,8132,NU Customer Groups,All
26,8132,Brand License,Posh Peanut
59,8132,Department,Apparel
60,8132,Prebook,FALSE
61,8132,Materials,Bamboo/Spandex(95/5)
5,8133,Collection,Chloe
20,8133,Subcategory,Kid's Pajamas
7,8133,Gender,Girl
4,8133,Size,6 years
6,8133,Launch Date,18-11-2020
16,8133,NRF Color Code,N/A
19,8133,NRF Color Name,N/A
3,8133,Season,Fall 2020
8,8133,Classification,OBSOLETE
24,8133,Price Method,Full Price
25,8133,NU Customer Groups,All
26,8133,Brand License,Posh Peanut
59,8133,Department,Apparel
60,8133,Prebook,FALSE
61,8133,Materials,Bamboo/Spandex(95/5)
5,8134,Collection,Chloe
20,8134,Subcategory,Long Sleeve Basic Pajamas
7,8134,Gender,Girl
4,8134,Size,7 years
3,8134,Season,Fall 2020
8,8134,Classification,OBSOLETE
6,8134,Launch Date,18-11-2020
19,8134,NRF Color Name,Pink
16,8134,NRF Color Code,N/A
5,8135,Collection,Chloe
20,8135,Subcategory,Long Sleeve Basic Pajamas
7,8135,Gender,Girl
4,8135,Size,8 years
3,8135,Season,Fall 2020
8,8135,Classification,OBSOLETE
6,8135,Launch Date,18-11-2020
19,8135,NRF Color Name,Pink
16,8135,NRF Color Code,N/A
5,8136,Collection,Chloe
20,8136,Subcategory,Kid's Pajamas
7,8136,Gender,Girl
4,8136,Size,9 years
6,8136,Launch Date,18-11-2020
16,8136,NRF Color Code,N/A
19,8136,NRF Color Name,N/A
3,8136,Season,Fall 2020
8,8136,Classification,OBSOLETE
24,8136,Price Method,Markdown
16,17871,NRF Color Code,731
19,17871,NRF Color Name,Bright Yellow
3,17871,Season,Summer 2021
8,17871,Classification,SEASONAL
24,17871,Price Method,Full Price
25,17871,NU Customer Groups,All
26,17871,Brand License,Posh Peanut
59,17871,Department,Apparel
60,17871,Prebook,FALSE
61,17871,Materials,Bamboo/Spandex(95/5)
5,17872,Collection,Annika
20,17872,Subcategory,Bubble Romper
7,17872,Gender,Baby Girl
4,17872,Size,3-6 Months
6,17872,Launch Date,20-05-2021
17,17872,Ship Date,11-05-2021
16,17872,NRF Color Code,731
19,17872,NRF Color Name,Bright Yellow
3,17872,Season,Summer 2021
8,17872,Classification,SEASONAL
24,17872,Price Method,Full Price
25,17872,NU Customer Groups,All
26,17872,Brand License,Posh Peanut
59,17872,Department,Apparel
60,17872,Prebook,FALSE
61,17872,Materials,Bamboo/Spandex(95/5)
5,17873,Collection,Annika
20,17873,Subcategory,Bubble Romper
7,17873,Gender,Baby Girl
4,17873,Size,6-12 Months
6,17873,Launch Date,20-05-2021
17,17873,Ship Date,11-05-2021
16,17873,NRF Color Code,731
19,17873,NRF Color Name,Bright Yellow
3,17873,Season,Summer 2021
8,17873,Classification,SEASONAL
24,17873,Price Method,Full Price
25,17873,NU Customer Groups,All
26,17873,Brand License,Posh Peanut
59,17873,Department,Apparel
60,17873,Prebook,FALSE
61,17873,Materials,Bamboo/Spandex(95/5)
5,17874,Collection,Annika
20,17874,Subcategory,Bubble Romper
7,17874,Gender,Baby Girl
4,17874,Size,12-18 Months
6,17874,Launch Date,20-05-2021
17,17874,Ship Date,11-05-2021
16,17874,NRF Color Code,731
25,8136,NU Customer Groups,All
19,17874,NRF Color Name,Bright Yellow
3,17874,Season,Summer 2021
8,17874,Classification,SEASONAL
24,17874,Price Method,Full Price
25,17874,NU Customer Groups,All
26,17874,Brand License,Posh Peanut
59,17874,Department,Apparel
60,17874,Prebook,FALSE
61,17874,Materials,Bamboo/Spandex(95/5)
5,17875,Collection,Annika
20,17875,Subcategory,Bubble Romper
7,17875,Gender,Baby Girl
4,17875,Size,18-24 Months
6,17875,Launch Date,20-05-2021
17,17875,Ship Date,11-05-2021
16,17875,NRF Color Code,731
19,17875,NRF Color Name,Bright Yellow
3,17875,Season,Summer 2021
8,17875,Classification,SEASONAL
24,17875,Price Method,Full Price
25,17875,NU Customer Groups,All
26,17875,Brand License,Posh Peanut
59,17875,Department,Apparel
60,17875,Prebook,FALSE
61,17875,Materials,Bamboo/Spandex(95/5)
5,17876,Collection,Annika
20,17876,Subcategory,Bubble Romper
7,17876,Gender,Girl
4,17876,Size,2 years
6,17876,Launch Date,20-05-2021
17,17876,Ship Date,11-05-2021
16,17876,NRF Color Code,731
19,28836,NRF Color Name,Light/Pastel Blue
25,28836,NU Customer Groups,All
60,28836,Prebook,FALSE
24,28836,Price Method,Full Price
3,28836,Season,Spring 2022
17,28836,Ship Date,01-04-2022
4,28836,Size,6-9 Months
20,28836,Subcategory,One Piece
61,28836,Materials,Bamboo/Spandex(95/5)
6,28836,Launch Date,19-04-2022
26,28837,Brand License,Posh Peanut
8,28837,Classification,SEASONAL
5,28837,Collection,Boba Time
59,28837,Department,Apparel
7,28837,Gender,Baby Unisex
16,28837,NRF Color Code,455
19,28837,NRF Color Name,Light/Pastel Blue
25,28837,NU Customer Groups,All
60,28837,Prebook,FALSE
24,28837,Price Method,Full Price
3,28837,Season,Spring 2022
17,28837,Ship Date,01-04-2022
4,28837,Size,9-12 Months
20,28837,Subcategory,One Piece
26,8136,Brand License,Posh Peanut
59,8136,Department,Apparel
60,8136,Prebook,FALSE
61,8136,Materials,Bamboo/Spandex(95/5)
5,8137,Collection,Chloe
20,8137,Subcategory,Long Sleeve Basic Pajamas
7,8137,Gender,Girl
4,8137,Size,10 years
3,8137,Season,Fall 2020
8,8137,Classification,OBSOLETE
6,8137,Launch Date,18-11-2020
19,8137,NRF Color Name,Pink
16,8137,NRF Color Code,N/A
5,8138,Collection,Chloe
20,8138,Subcategory,Bodysuit
7,8138,Gender,Baby Girl
4,8138,Size,0-3 Months
6,8138,Launch Date,18-11-2020
16,8138,NRF Color Code,N/A
19,8138,NRF Color Name,N/A
3,8138,Season,Fall 2020
8,8138,Classification,OBSOLETE
24,8138,Price Method,Markdown
25,8138,NU Customer Groups,All
26,8138,Brand License,Posh Peanut
59,8138,Department,Apparel
60,8138,Prebook,FALSE
61,8138,Materials,Bamboo/Spandex(95/5)
5,8139,Collection,Chloe
20,8139,Subcategory,Bodysuit
7,8139,Gender,Baby Girl
4,8139,Size,3-6 Months
6,8139,Launch Date,18-11-2020
16,8139,NRF Color Code,N/A
19,8139,NRF Color Name,N/A
3,8139,Season,Fall 2020
61,13160,Materials,Bamboo/Spandex(95/5)
5,13161,Collection,Strawberry
20,13161,Subcategory,Dress
7,13161,Gender,Girl
4,13161,Size,7 years
6,13161,Launch Date,09-03-2021
16,13161,NRF Color Code,670
19,13161,NRF Color Name,Bright Pink
3,13161,Season,Spring 2021
8,13161,Classification,SEASONAL
24,13161,Price Method,Full Price
25,13161,NU Customer Groups,All
26,13161,Brand License,Posh Peanut
59,13161,Department,Apparel
60,13161,Prebook,FALSE
61,13161,Materials,Bamboo/Spandex(95/5)
5,13162,Collection,Strawberry
20,13162,Subcategory,Dress
7,13162,Gender,Girl
4,13162,Size,8 years
6,13162,Launch Date,09-03-2021
16,13162,NRF Color Code,670
19,13162,NRF Color Name,Bright Pink
3,13162,Season,Spring 2021
8,13162,Classification,SEASONAL
24,13162,Price Method,Full Price
25,13162,NU Customer Groups,All
26,13162,Brand License,Posh Peanut
59,13162,Department,Apparel
60,13162,Prebook,FALSE
61,13162,Materials,Bamboo/Spandex(95/5)
5,13163,Collection,Strawberry
20,13163,Subcategory,Dress
7,13163,Gender,Girl
4,13163,Size,9 years
6,13163,Launch Date,09-03-2021
16,13163,NRF Color Code,670
19,13163,NRF Color Name,Bright Pink
3,13163,Season,Spring 2021
8,13163,Classification,SEASONAL
24,13163,Price Method,Full Price
25,13163,NU Customer Groups,All
26,13163,Brand License,Posh Peanut
59,13163,Department,Apparel
60,13163,Prebook,FALSE
61,13163,Materials,Bamboo/Spandex(95/5)
5,13164,Collection,Strawberry
20,13164,Subcategory,Dress
7,13164,Gender,Girl
4,13164,Size,10 years
6,13164,Launch Date,09-03-2021
16,13164,NRF Color Code,670
19,13164,NRF Color Name,Bright Pink
3,13164,Season,Spring 2021
8,13164,Classification,SEASONAL
4,44347,Size,Small (0-2)
24,13164,Price Method,Full Price
25,13164,NU Customer Groups,All
26,13164,Brand License,Posh Peanut
59,13164,Department,Apparel
60,13164,Prebook,FALSE
61,13164,Materials,Bamboo/Spandex(95/5)
5,13165,Collection,Strawberry
20,13165,Subcategory,Dress
7,13165,Gender,Girl
4,13165,Size,2 years
6,13165,Launch Date,09-03-2021
16,13165,NRF Color Code,670
19,13165,NRF Color Name,Bright Pink
3,13165,Season,Spring 2021
8,13165,Classification,SEASONAL
24,13165,Price Method,Full Price
25,13165,NU Customer Groups,All
26,13165,Brand License,Posh Peanut
59,13165,Department,Apparel
60,13165,Prebook,FALSE
61,13165,Materials,Bamboo/Spandex(95/5)
5,13166,Collection,Strawberry
20,13166,Subcategory,Dress
7,13166,Gender,Girl
4,13166,Size,3 years
6,13166,Launch Date,09-03-2021
16,13166,NRF Color Code,670
19,13166,NRF Color Name,Bright Pink
3,13166,Season,Spring 2021
8,13166,Classification,SEASONAL
24,13166,Price Method,Full Price
25,13166,NU Customer Groups,All
26,13166,Brand License,Posh Peanut
59,13166,Department,Apparel
60,13166,Prebook,FALSE
61,13166,Materials,Bamboo/Spandex(95/5)
5,13167,Collection,Strawberry
20,13167,Subcategory,Dress
7,13167,Gender,Girl
4,13167,Size,4 years
6,13167,Launch Date,09-03-2021
16,13167,NRF Color Code,670
19,13167,NRF Color Name,Bright Pink
3,13167,Season,Spring 2021
8,13167,Classification,SEASONAL
24,13167,Price Method,Full Price
25,13167,NU Customer Groups,All
26,13167,Brand License,Posh Peanut
59,13167,Department,Apparel
60,13167,Prebook,FALSE
8,8139,Classification,OBSOLETE
24,8139,Price Method,Markdown
25,8139,NU Customer Groups,All
26,8139,Brand License,Posh Peanut
59,8139,Department,Apparel
60,8139,Prebook,FALSE
61,13167,Materials,Bamboo/Spandex(95/5)
61,8139,Materials,Bamboo/Spandex(95/5)
5,8140,Collection,Chloe
20,8140,Subcategory,Bodysuit
7,8140,Gender,Baby Girl
4,8140,Size,6-12 Months
6,8140,Launch Date,18-11-2020
16,8140,NRF Color Code,N/A
19,8140,NRF Color Name,N/A
3,8140,Season,Fall 2020
8,8140,Classification,OBSOLETE
24,8140,Price Method,Markdown
25,8140,NU Customer Groups,All
26,8140,Brand License,Posh Peanut
59,8140,Department,Apparel
60,8140,Prebook,FALSE
61,8140,Materials,Bamboo/Spandex(95/5)
5,8141,Collection,Chloe
20,8141,Subcategory,Bodysuit
7,8141,Gender,Baby Girl
4,8141,Size,12-18 Months
6,8141,Launch Date,18-11-2020
16,8141,NRF Color Code,N/A
19,8141,NRF Color Name,N/A
3,8141,Season,Fall 2020
8,8141,Classification,OBSOLETE
24,8141,Price Method,Markdown
25,8141,NU Customer Groups,All
26,8141,Brand License,Posh Peanut
59,8141,Department,Apparel
60,8141,Prebook,FALSE
61,8141,Materials,Bamboo/Spandex(95/5)
5,8142,Collection,Chloe
20,8142,Subcategory,Bodysuit
7,8142,Gender,Baby Girl
4,8142,Size,18-24 Months
6,8142,Launch Date,18-11-2020
16,8142,NRF Color Code,N/A
19,8142,NRF Color Name,N/A
3,8142,Season,Fall 2020
8,8142,Classification,OBSOLETE
24,8142,Price Method,Markdown
25,8142,NU Customer Groups,All
26,8142,Brand License,Posh Peanut
59,8142,Department,Apparel
60,8142,Prebook,FALSE
61,8142,Materials,Bamboo/Spandex(95/5)
5,8143,Collection,Chloe
20,8143,Subcategory,Dress
7,8143,Gender,Girl
4,8143,Size,2 years
6,8143,Launch Date,18-11-2020
16,8143,NRF Color Code,N/A
19,8143,NRF Color Name,N/A
3,8143,Season,Fall 2020
8,8143,Classification,OBSOLETE
24,8143,Price Method,Markdown
25,8143,NU Customer Groups,All
26,8143,Brand License,Posh Peanut
59,8143,Department,Apparel
60,8143,Prebook,FALSE
61,8143,Materials,Bamboo/Spandex(95/5)
5,8144,Collection,Chloe
20,8144,Subcategory,Dress
7,8144,Gender,Girl
4,8144,Size,3 years
6,8144,Launch Date,18-11-2020
16,8144,NRF Color Code,N/A
19,8144,NRF Color Name,N/A
3,8144,Season,Obsolete
8,8144,Classification,OBSOLETE
24,8144,Price Method,Markdown
25,8144,NU Customer Groups,All
26,8144,Brand License,Posh Peanut
59,8144,Department,Apparel
60,8144,Prebook,FALSE
61,8144,Materials,Bamboo/Spandex(95/5)
5,8145,Collection,Chloe
20,8145,Subcategory,Dress
7,8145,Gender,Girl
4,8145,Size,4 years
6,8145,Launch Date,18-11-2020
16,8145,NRF Color Code,N/A
19,8145,NRF Color Name,N/A
3,8145,Season,Fall 2020
8,8145,Classification,OBSOLETE
24,8145,Price Method,Markdown
25,8145,NU Customer Groups,All
26,8145,Brand License,Posh Peanut
59,8145,Department,Apparel
60,8145,Prebook,FALSE
61,8145,Materials,Bamboo/Spandex(95/5)
5,8146,Collection,Chloe
20,8146,Subcategory,Dress
7,8146,Gender,Girl
4,8146,Size,5 years
6,8146,Launch Date,18-11-2020
16,8146,NRF Color Code,N/A
19,8146,NRF Color Name,N/A
3,8146,Season,Fall 2020
8,8146,Classification,OBSOLETE
24,8146,Price Method,Markdown
25,8146,NU Customer Groups,All
26,8146,Brand License,Posh Peanut
59,8146,Department,Apparel
60,8146,Prebook,FALSE
61,8146,Materials,Bamboo/Spandex(95/5)
5,8147,Collection,Chloe
20,8147,Subcategory,Dress
7,8147,Gender,Girl
4,8147,Size,6 years
6,8147,Launch Date,18-11-2020
16,8147,NRF Color Code,N/A
19,8147,NRF Color Name,N/A
3,8147,Season,Fall 2020
8,8147,Classification,OBSOLETE
24,8147,Price Method,Markdown
25,8147,NU Customer Groups,All
26,8147,Brand License,Posh Peanut
59,8147,Department,Apparel
60,8147,Prebook,FALSE
61,8147,Materials,Bamboo/Spandex(95/5)
5,8148,Collection,Chloe
20,8148,Subcategory,Long Sleeve Twirl Dress 
7,8148,Gender,Girl
4,8148,Size,7 years
3,8148,Season,Fall 2020
8,8148,Classification,OBSOLETE
6,8148,Launch Date,18-11-2020
19,8148,NRF Color Name,Pink
16,8148,NRF Color Code,N/A
5,8149,Collection,Chloe
20,8149,Subcategory,Long Sleeve Twirl Dress 
7,8149,Gender,Girl
4,8149,Size,8 years
3,8149,Season,Fall 2020
8,8149,Classification,OBSOLETE
5,13168,Collection,Strawberry
20,13168,Subcategory,Dress
7,13168,Gender,Girl
4,13168,Size,5 years
